0time     0.00seconds
1
0program flo103                              antony jameson & luigi martinelli    
0airfoil analysis in transonic flow
0horn  Airfoil                                                       
0            
0      euler   navier-stokes turbulent    rng model  fixed-transition
         F            T            T            T            T
0   reynolds nu    t0      x-transition pr number   prt number 
       4.6000    300.0000      0.1000      0.7500      0.9200
 mesh read from unit           18
 itl   =           65
 itu   =          449
 xte   =   0.75000000000000000     
 scal  =    1.0000000000000000     
 chord =    1.0097872163146988     
0time     0.10seconds
1
0time dependent solution
0   mach number ang attack      fcl         clt    
       0.2287      2.5000      2.5000      0.0000
0       nx          ny        n mesh       n cyc      n stage  
          512         128           6           2           5
0   cfl number    fsmoop      smoopi      smoopj     h factor  
       5.0000      1.0000      0.7500      0.7500      0.0000
0     cstp(1)     cstp(2)     cstp(3)     cstp(4)     cstp(5)     cstp(6)  
       0.2500      0.1667      0.3750      0.5000      1.0000      0.0000
0     cdis(1)     cdis(2)     cdis(3)     cdis(4)     cdis(5)     cdis(6)  
       1.0000      0.0000      0.5650      0.0000      0.4400      0.0000
0      vis 2       vis 4       vis 0       adis         bc     
       1.0000      1.0000      1.0000      1.0000      1.0000
0      cflc         fbc         hmc    
       5.0000      1.0000      0.0000
0      fcoll       fadd    
       0.8000      1.0000
0  cycle max dr/dt  i   j  avg dr/dtmax enthpy  i   j avg enthpyn sup    cl        cd       alpha    dalpha  
     1-0.612E+05 244   2 0.135E+04 0.316E+00 238   2 0.199E-01      0 0.816E+00 0.478E+00 0.436E-01 0.354E+01
     2 0.144E+05 244   3 0.426E+03-0.361E+00 432   3 0.580E-01      0 0.301E+00 0.141E+00 0.436E-01 0.354E+01
     3 0.689E+04 245   3 0.248E+03-0.664E+00 244   5 0.110E+00      0 0.302E+00 0.494E-01 0.436E-01 0.354E+01
     4-0.561E+04 245   2 0.237E+03-0.891E+00 244   7 0.155E+00      0 0.363E+00-0.662E-02 0.436E-01 0.354E+01
     5-0.276E+04 220   2 0.124E+03-0.125E+01 246   2 0.186E+00      0 0.183E+00-0.909E-01 0.436E-01 0.354E+01
     6-0.275E+04 245   3 0.102E+03-0.146E+01 245   2 0.207E+00      0 0.383E+00-0.228E-01 0.436E-01 0.354E+01
     7-0.274E+04 245   3 0.102E+03-0.155E+01 246   2 0.220E+00      0 0.357E+00-0.257E-02 0.436E-01 0.354E+01
     8-0.206E+04 245   3 0.648E+02-0.161E+01 246   2 0.229E+00      0 0.404E+00 0.155E-01 0.436E-01 0.354E+01
     9-0.175E+04 244   3 0.537E+02-0.164E+01 246   2 0.235E+00      0 0.384E+00 0.153E-01 0.436E-01 0.354E+01
    10-0.148E+04 244   3 0.526E+02-0.166E+01 246   2 0.241E+00      0 0.392E+00 0.127E-01 0.436E-01 0.354E+01
    11-0.140E+04 244   3 0.444E+02-0.168E+01 246   2 0.246E+00      0 0.389E+00 0.943E-02 0.436E-01 0.354E+01
    12 0.118E+04 245   2 0.455E+02-0.170E+01 246   2 0.250E+00      0 0.398E+00 0.504E-02 0.436E-01 0.354E+01
    13-0.112E+04 244   3 0.367E+02-0.172E+01 246   2 0.254E+00      0 0.397E+00 0.311E-02 0.436E-01 0.354E+01
    14 0.954E+03 245   2 0.376E+02-0.174E+01 246   2 0.259E+00      0 0.405E+00 0.958E-03 0.436E-01 0.354E+01
    15-0.861E+03 244   3 0.296E+02-0.175E+01 246   2 0.263E+00      0 0.402E+00 0.219E-03 0.436E-01 0.354E+01
    16 0.782E+03 245   2 0.308E+02-0.176E+01 246   2 0.267E+00      0 0.407E+00-0.128E-02 0.436E-01 0.354E+01
    17-0.634E+03 241   3 0.238E+02-0.177E+01 246   2 0.272E+00      0 0.404E+00-0.110E-02 0.436E-01 0.354E+01
    18 0.654E+03 245   2 0.255E+02-0.179E+01 246   2 0.276E+00      0 0.407E+00-0.191E-02 0.436E-01 0.354E+01
    19-0.469E+03 242   3 0.195E+02-0.180E+01 246   2 0.280E+00      0 0.405E+00-0.113E-02 0.436E-01 0.354E+01
    20 0.552E+03 245   2 0.214E+02-0.181E+01 246   2 0.284E+00      0 0.405E+00-0.156E-02 0.436E-01 0.354E+01
